State,Dealer,Ace,Action
12,1,False,hit
12,1,True,hit
12,2,False,hit
12,2,True,hit
12,3,False,hit
12,3,True,hit
12,4,False,hit
12,4,True,hit
12,5,False,hit
12,5,True,hit
12,6,False,hit
12,6,True,hit
12,7,False,hit
12,7,True,hit
12,8,False,hit
12,8,True,hit
12,9,False,hit
12,9,True,hit
12,10,False,hit
12,10,True,hit
13,1,False,hit
13,1,True,hit
13,2,False,hit
13,2,True,hit
13,3,False,hit
13,3,True,hit
13,4,False,hit
13,4,True,hit
13,5,False,hit
13,5,True,hit
13,6,False,hit
13,6,True,hit
13,7,False,hit
13,7,True,hit
13,8,False,hit
13,8,True,hit
13,9,False,hit
13,9,True,hit
13,10,False,hit
13,10,True,hit
14,1,False,hit
14,1,True,hit
14,2,False,hit
14,2,True,hit
14,3,False,hit
14,3,True,hit
14,4,False,hit
14,4,True,hit
14,5,False,hit
14,5,True,hit
14,6,False,hit
14,6,True,hit
14,7,False,hit
14,7,True,hit
14,8,False,hit
14,8,True,hit
14,9,False,hit
14,9,True,hit
14,10,False,hit
14,10,True,hit
15,1,False,hit
15,1,True,hit
15,2,False,hit
15,2,True,hit
15,3,False,hit
15,3,True,hit
15,4,False,hit
15,4,True,hit
15,5,False,hit
15,5,True,hit
15,6,False,hit
15,6,True,hit
15,7,False,hit
15,7,True,hit
15,8,False,hit
15,8,True,hit
15,9,False,hit
15,9,True,hit
15,10,False,hit
15,10,True,hit
16,1,False,hit
16,1,True,hit
16,2,False,hit
16,2,True,hit
16,3,False,hit
16,3,True,hit
16,4,False,hit
16,4,True,hit
16,5,False,hit
16,5,True,hit
16,6,False,hit
16,6,True,stick
16,7,False,hit
16,7,True,hit
16,8,False,hit
16,8,True,hit
16,9,False,hit
16,9,True,hit
16,10,False,hit
16,10,True,hit
17,1,False,hit
17,1,True,hit
17,2,False,hit
17,2,True,hit
17,3,False,hit
17,3,True,hit
17,4,False,hit
17,4,True,hit
17,5,False,hit
17,5,True,hit
17,6,False,hit
17,6,True,hit
17,7,False,hit
17,7,True,hit
17,8,False,hit
17,8,True,hit
17,9,False,hit
17,9,True,hit
17,10,False,hit
17,10,True,hit
18,1,False,hit
18,1,True,hit
18,2,False,hit
18,2,True,hit
18,3,False,hit
18,3,True,hit
18,4,False,hit
18,4,True,hit
18,5,False,hit
18,5,True,hit
18,6,False,hit
18,6,True,hit
18,7,False,hit
18,7,True,hit
18,8,False,hit
18,8,True,stick
18,9,False,hit
18,9,True,hit
18,10,False,hit
18,10,True,hit
19,1,False,hit
19,1,True,hit
19,2,False,hit
19,2,True,hit
19,3,False,hit
19,3,True,hit
19,4,False,hit
19,4,True,hit
19,5,False,hit
19,5,True,stick
19,6,False,hit
19,6,True,stick
19,7,False,hit
19,7,True,hit
19,8,False,hit
19,8,True,hit
19,9,False,hit
19,9,True,stick
19,10,False,hit
19,10,True,stick
20,1,False,hit
20,1,True,hit
20,2,False,stick
20,2,True,hit
20,3,False,stick
20,3,True,hit
20,4,False,hit
20,4,True,hit
20,5,False,stick
20,5,True,hit
20,6,False,hit
20,6,True,hit
20,7,False,stick
20,7,True,hit
20,8,False,stick
20,8,True,stick
20,9,False,stick
20,9,True,stick
20,10,False,hit
20,10,True,stick
21,1,False,hit
21,1,True,hit
21,2,False,stick
21,2,True,stick
21,3,False,stick
21,3,True,stick
21,4,False,stick
21,4,True,stick
21,5,False,stick
21,5,True,stick
21,6,False,hit
21,6,True,hit
21,7,False,stick
21,7,True,stick
21,8,False,hit
21,8,True,stick
21,9,False,stick
21,9,True,stick
21,10,False,stick
21,10,True,stick
